authors,title,year,link,topic,duplicate,venue,discipline,participants,timespan,MOOC,ecommerce,devices,researcher-provided devices,data source,research data provider,consent,review,collection mechanism,recruitment mechanism,compensation,interventions,qualitative,web attention,web navigation,web exposure,social media sharing,citations,citations/year,stratum
"['M Lu', 'D Meng', 'Y Peng', 'Y Li', 'Y Zhao']",A visual analytics approach for exploring individual behaviors in smartphone usage data,2016,https://ieeexplore.ieee.org/abstract/document/7465275/,behavior profiling,,IEEE Pacific Visualization Symposium,applied science,100,396,no,no,smartphone,no,custom,NA,not stated,not stated,mobile app,not stated,not stated,no,no,NA,NA,no,NA,4,0.6666666667,g3
"['TMT Do', 'D Gatica-Perez']",By their apps you shall understand them: mining large-scale patterns of mobile phone usage,2010,https://dl.acm.org/doi/abs/10.1145/1899475.1899502,behavior profiling,,Mobile and Ubiquitous Multimedia,applied science,111,243,no,no,smartphone,no,custom,NA,not stated,not stated,mobile app,not stated,not stated,no,no,NA,NA,no,NA,91,7.583333333,g2
"['M Böhmer', 'B Hecht', 'J Schöning', 'A Krüger']","Falling asleep with Angry Birds, Facebook and Kindle: a large scale study on mobile application usage",2011,https://dl.acm.org/doi/abs/10.1145/2037373.2037383,behavior profiling,,Mobile HCI,applied science,4100,163,no,no,smartphone,no,custom,NA,not stated,not stated,mobile app,advertising,not stated,no,no,NA,NA,no,NA,788,71.63636364,g1
"['G Chittaranjan', 'J Blom']",Who's who with big-five: Analyzing and classifying personality traits with smartphones,2011,https://ieeexplore.ieee.org/abstract/document/5959587/,behavior profiling,,International Symposium on Wearable Computers,applied science,83,272,no,no,smartphone,yes,custom,NA,not stated,not stated,mobile app,traditional,yes,no,yes,NA,NA,no,NA,262,23.81818182,g1
"['G Chittaranjan', 'J Blom', 'D Gatica-Perez']",Mining large-scale smartphone data for personality studies,2013,https://link.springer.com/article/10.1007/s00779-011-0490-1,behavior profiling,,Personal and Ubiquitous Computing,applied science,117,510,no,no,cell phone,yes,custom,NA,consent explained,not stated,mobile app,traditional,yes,no,yes,NA,NA,no,NA,435,48.33333333,g1
"['A Diriye', 'R White', 'G Buscher', 'S Dumais']",Leaving so soon? Understanding and predicting web search abandonment rationales,2012,https://dl.acm.org/doi/abs/10.1145/2396761.2398399,behavior profiling,,ACM international conference on Information and knowledge management,applied science,2500,30,no,no,desktop,no,custom,NA,not stated,not stated,extension,traditional,yes,no,yes,count visits,precise instrumentation (on SERPs only),yes,NA,77,7.7,g2
"['M Mahrt', 'A Bock']","Okay, so I guess I'm not a girl then': Representation and negotiation of gender by YouTubers and their young audiences",2021,https://www.participations.org/Volume%2018/Issue%201/8.pdf,behavior profiling,,ACM International Conference on Information and Knowledge Management,applied science,2500,30,no,no,desktop,no,custom,NA,not stated,not stated,extension,business operation,yes,yes,yes,count visits,last loaded page,yes,NA,1,1,g3
"['H Weinreich', 'H Obendorf', 'E Herder']",Not quite the average: An empirical study of web use,2008,https://dl.acm.org/doi/abs/10.1145/1326561.1326566,behavior profiling,,ACM Transactions on the Web,applied science,25,195,no,no,desktop,no,custom,NA,consent explained,not stated,extension,traditional,no,no,yes,dwell time,"other: not stated, appears to be precise instrumentation",no,NA,343,24.5,g1
"['N Matthijs', 'F Radlinski']",Personalizing web search using long term browsing history,2011,https://dl.acm.org/doi/abs/10.1145/1935826.1935840,behavior profiling,,ACM international conference on Web Search and Data Mining,applied science,41,92,no,no,not stated,no,custom,NA,not stated,not stated,extension,not stated,not stated,yes,no,count visits,last loaded page,yes,NA,248,22.54545455,g1
"['R Kraut', 'W Scherlis', 'T Mukhopadhyay']",HomeNet: A field trial of residential Internet services,1996,https://dl.acm.org/doi/fullHtml/10.1145/238386.238531,behavior profiling,,CHI,applied science,157,120,no,no,desktop,yes,custom,NA,consent obtained,not stated,desktop program,not stated,no,no,yes,count visits,NA,yes,NA,529,20.34615385,g1
"['IH Sarker', 'YB Abushark', 'AI Khan']",Contextpca: Predicting context-aware smartphone apps usage based on machine learning techniques,2020,https://www.mdpi.com/679324,behavior profiling,,Symmetry,natural science,10,152,no,no,smartphone,no,not stated,NA,not stated,not stated,not stated,not stated,not stated,no,no,NA,NA,no,NA,19,9.5,g2
"['D Robinson', 'G Cybenko']",A cyber-based behavioral model,2012,https://journals.sagepub.com/doi/abs/10.1177/1548512911425808,behavior profiling,,"The Journal of Defense Modeling and Simulation: Applications, Methodology, Technology",applied science,12,122,no,no,desktop,no,not stated,NA,consent obtained,not stated,not stated,not stated,not stated,no,yes,NA,NA,no,NA,7,0.7,g3
"['TMT Do', 'D Gatica-Perez']",Where and what: Using smartphones to predict next locations and applications in daily life,2014,https://www.sciencedirect.com/science/article/pii/S1574119213000576,behavior profiling,,Pervasive and Mobile Computing,applied science,71,411.75,no,no,smartphone,yes,not stated,NA,not stated,not stated,mobile app,traditional,yes,no,yes,NA,NA,no,NA,153,19.125,g1
"['SA Ríos', 'RA Silva', 'F Aguilera']",A dissimilarity measure for automate moderation in online social networks,2012,https://dl.acm.org/doi/abs/10.1145/2189736.2189741,behavior profiling,,International Workshop on Web Intelligence & Communities,applied science,2000,214,no,no,mixed server data,no,partnership,NA,not stated,not stated,business data,business operation,not stated,no,no,NA,NA,no,NA,8,0.8,g3
"['J Lehmann', 'M Lalmas', 'E Yom-Tov', 'G Dupret']",Models of user engagement,2012,https://link.springer.com/chapter/10.1007/978-3-642-31454-4_14,behavior profiling,,"User Modeling, Adaptation, and Personalization",applied science,2000000,31,no,no,desktop,no,partnership,NA,consent obtained,not stated,extension,business operation,not stated,no,no,dwell time,NA,yes,NA,303,30.3,g1
"['J Kim', 'T Mielikäinen']",Conditional log-linear models for mobile application usage prediction,2014,https://link.springer.com/chapter/10.1007/978-3-662-44848-9_43,behavior profiling,,European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases,applied science,142,731,no,no,smartphone,yes,partnership,NA,consent obtained,not stated,mobile app,advertising,not stated,no,no,NA,NA,no,NA,18,2.25,g3
"['S Zhao', 'J Ramos', 'J Tao', 'Z Jiang', 'S Li', 'Z Wu']",Discovering different kinds of smartphone users through their application usage behaviors,2016,https://dl.acm.org/doi/abs/10.1145/2971648.2971696,behavior profiling,,ACM International Joint Conference on Pervasive and Ubiquitous Computing,applied science,106762,30,no,no,smartphone,no,partnership,NA,not stated,not stated,not stated,business operation,not stated,no,no,NA,NA,no,NA,125,20.83333333,g1
"['G Wang', 'X Zhang', 'S Tang', 'C Wilson', 'H Zheng']",Clickstream user behavior models,2017,https://dl.acm.org/doi/abs/10.1145/3068332,behavior profiling,,ACM Transactions on the Web,applied science,115982,44,no,no,mixed server data,no,partnership,NA,not stated,IRB approved,business data,business operation,not stated,no,no,NA,NA,no,NA,44,8.8,g2
"['J Huang', 'RW White']",Parallel browsing behavior on the web,2010,https://dl.acm.org/doi/abs/10.1145/1810617.1810622,behavior profiling,,ACM conference on Hypertext and hypermedia,applied science,50000000,30,no,no,desktop,no,partnership,NA,consent obtained,not stated,extension,business operation,not stated,no,no,NA,"referrer, precise instrumentation",no,NA,75,6.25,g2
"['L Vassio', 'I Drago', 'M Mellia', 'ZB Houidi']","You, the web, and your device: Longitudinal characterization of browsing habits",2018,https://dl.acm.org/doi/abs/10.1145/3231466,behavior profiling,,ACM Transactions on the Web,applied science,25000,1096,no,no,mixed server data,no,partnership,NA,not stated,not stated,business data,business operation,not stated,no,no,time to next page load,referrer,yes,NA,19,4.75,g2
"['AH Schulz', 'A Breiter']",Monitoring user patterns in school information systems using logfile analysis,2012,https://link.springer.com/chapter/10.1007/978-3-642-38411-0_9,behavior profiling,,IFIP Conference on Information Technology in Educational Management,applied science,138,320,no,no,mixed server data,no,partnership,NA,not stated,not stated,business data,business operation,not stated,no,no,NA,last loaded page (within the system under study),no,NA,7,0.7,g3
